"Best Focus Point","+100 Displacement","-100 Displacement","+200 Displacement","-200 Displacement","Error - +100","Error - -100","Error +200","Error - -200","Mean Error +","Mean Error -"
-748.8,-705.4,-748.6,-705.2,-748.4,43.4,0.2,43.6,0.4,43.5,0.3
-788.8,-742.6,-785.8,-739.6,-782.8,46.2,3,49.2,6,47.7,4.5
-788.5,-745.1,-791.1,-747.7,-790.9,43.4,2.6,40.8,2.4,42.1,2.5
-784.1,-740.7,-786.7,-743.3,-786.5,43.4,2.6,40.8,2.4,42.1,2.5
-783,-739.6,-782.8,-739.4,-782.6,43.4,0.2,43.6,0.4,43.5,0.3
-715.4,-672,-715.2,-669,-712.2,43.4,0.2,46.4,3.2,44.9,1.7
-771.9,-725.7,-771.7,-728.3,-771.5,46.2,0.2,43.6,0.4,44.9,0.3
-429.4,-386,-429.2,-385.9,-429,43.4,0.2,43.5,0.4,43.45,0.3
-835.8,-789.7,-832.9,-789.5,-832.6,46.1,2.9,46.3,3.2,46.2,3.05
-863,-819.7,-862.9,-816.8,-859.9,43.3,0.1,46.2,3.1,44.75,1.6
-858.7,-815.3,-858.7,-815.3,-858.5,43.4,0,43.4,0.2,43.4,0.1
-664.2,-620.8,-664,-620.6,-663.8,43.4,0.2,43.6,0.4,43.5,0.3
-892.6,-846.4,-889.6,-846.2,-889.4,46.2,3,46.4,3.2,46.3,3.1
-889.4,-843.3,-889.3,-845.8,-889,46.1,0.1,43.6,0.4,44.85,0.25
-898.5,-853.2,-896.4,-853,-896.2,45.3,2.1,45.5,2.3,45.4,2.2
401.2,447.7,403.9,447.6,403.9,46.5,2.7,46.4,2.7,46.45,2.7
454,500.4,456.8,500.4,456.8,46.4,2.8,46.4,2.8,46.4,2.8
456.8,500.3,456.8,503.1,456.8,43.5,0,46.3,0,44.9,0
453.9,497.4,453.9,497.4,453.9,43.5,0,43.5,0,43.5,0
473.9,535.7,473.2,538.9,476.4,61.8,0.7,65,2.5,63.4,1.6
-49,13,-49.7,13.1,-49.4,62,0.7,62.1,0.4,62.05,0.55
-78.3,-16.2,-78.6,-15.7,-78.1,62.1,0.3,62.6,0.2,62.35,0.25
113.9,175.7,113.2,175.7,113.1,61.8,0.7,61.8,0.8,61.8,0.75
117.3,179.1,116.6,179.1,116.5,61.8,0.7,61.8,0.8,61.8,0.75
116.7,178.5,116.1,178.5,115.9,61.8,0.6,61.8,0.8,61.8,0.7
115.5,177.2,114.8,177.2,114.6,61.7,0.7,61.7,0.9,61.7,0.8
114.5,176.2,113.8,176.4,113.8,61.7,0.7,61.9,0.7,61.8,0.7
125.8,187.5,125,187.5,124.9,61.7,0.8,61.7,0.9,61.7,0.85
124.9,186.6,124.1,186.6,124,61.7,0.8,61.7,0.9,61.7,0.85
124,185.7,123.3,185.8,123.2,61.7,0.7,61.8,0.8,61.75,0.75
-5.7,40.4,-5.8,37.5,-5.9,46.1,0.1,43.2,0.2,44.65,0.15
